LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),result,Cycles,Clock Period,Frac Width,Num Parallel,Int Bits,D,H,MAE,RMSE,Execution Time (m),Time Utilization
99615,2250,0,2064,-1.154,3.418,0.465,2.953,success,28.0,10,8.0,8.0,10.0,64,16,0.033574943924999996,0.05053242287889409,25.682213008403778,
106618,2377,0,2064,-1.681,3.44,0.487,2.953,success,28.0,10,9.0,8.0,10.0,64,16,0.024583378184374997,0.04184172145540223,31.992940191427866,
201733,2505,0,2064,-2.462,3.491,0.537,2.954,success,28.0,10,10.0,8.0,10.0,64,16,0.0219452739875,0.040049592861202084,28.59997418721517,
251271,2633,0,2064,-2.681,3.539,0.584,2.955,success,28.0,10,11.0,8.0,10.0,64,16,0.021599731202343753,0.03995080493353905,30.97312762737274,
305902,2761,0,2064,-2.622,3.555,0.599,2.955,success,28.0,10,12.0,8.0,10.0,64,16,0.02169135383710937,0.04014095383414298,36.73135989109675,
139501,2889,0,4128,-3.705,3.743,0.784,2.959,success,28.0,10,13.0,8.0,10.0,64,16,0.021823017960742187,0.040236565969455636,34.10236235459646,
144474,3018,0,4128,-3.334,3.808,0.848,2.96,success,28.0,10,14.0,8.0,10.0,64,16,0.021937463191210937,0.040291420807008996,31.392403276761375,
148578,3146,0,4128,-3.531,3.826,0.865,2.96,success,28.0,10,15.0,8.0,10.0,64,16,0.02201427913579101,0.04035049574310151,33.34191766579946,
145263,3274,0,4128,-3.409,3.82,0.859,2.96,success,28.0,10,16.0,8.0,10.0,64,16,0.02204026711625976,0.04036369235872383,30.830825670560202,
79491,913,0,4128,-0.582,3.628,0.671,2.957,success,24.0,10,1.0,16.0,10.0,64,16,0.7614010584812501,0.9194911624781473,24.10376465320587,
84727,1585,0,4128,-0.345,3.577,0.621,2.956,success,24.0,10,2.0,16.0,10.0,64,16,1.01006924373125,1.1574551862223066,22.801427721977234,
93273,1969,0,4128,-1.067,3.594,0.638,2.956,success,24.0,10,3.0,16.0,10.0,64,16,0.9390916732812501,1.0722403503793656,27.25551736354828,
99691,2129,0,4128,-1.375,3.612,0.656,2.956,success,24.0,10,4.0,16.0,10.0,64,16,0.64002444098125,0.7594340071120249,25.785322141647338,
107487,2289,0,4128,-1.635,3.633,0.676,2.957,success,24.0,10,5.0,16.0,10.0,64,16,0.27805653911875,0.3560365063928123,30.294366399447124,
113818,2449,0,4128,-2.279,3.658,0.701,2.957,success,24.0,10,6.0,16.0,10.0,64,16,0.12189346498125002,0.16220259148785396,31.602953799565633,
120150,2641,0,4128,-2.637,3.674,0.717,2.958,success,24.0,10,7.0,16.0,10.0,64,16,0.05826738945624999,0.08097655801932363,29.344094244639077,
127639,2801,0,4128,-2.063,3.683,0.725,2.958,success,24.0,10,8.0,16.0,10.0,64,16,0.033574943924999996,0.05053242287889409,36.06319907506307,
133816,2961,0,4128,-2.074,3.76,0.801,2.959,success,24.0,10,9.0,16.0,10.0,64,16,0.024583378184374997,0.04184172145540223,43.65182854731878,
321557,3126,0,4128,-3.757,3.768,0.809,2.959,success,24.0,10,10.0,16.0,10.0,64,16,0.0219452739875,0.040049592861202084,44.192763737837474,
416509,3287,0,4128,-4.651,3.746,0.787,2.959,success,24.0,10,11.0,16.0,10.0,64,16,0.021599731202343753,0.03995080493353905,53.274119639396666,
516223,3448,0,4128,-4.048,3.825,0.864,2.96,success,24.0,10,12.0,16.0,10.0,64,16,0.02169135383710937,0.04014095383414298,57.55675701300303,
0,0,0,0,0.0,0.0,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",0.0,10,,,,64,16,0.0,0.0,3.5904927055040994,0.0
0,0,0,0,0.0,0.0,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",0.0,10,,,,64,16,0.0,0.0,9.15997458299001,0.0
0,0,0,0,0.0,0.0,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",0.0,10,,,,64,16,0.0,0.0,16.288573161760965,0.0
179832,4082,0,8256,-4.632,4.227,1.259,2.968,success,24.0,10,16.0,16.0,10.0,64,16,0.02204026711625976,0.04036369235872383,48.13298411369324,
