==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
  H (Hidden Dimension):    16
  DATA_WIDTH:              11
  FRAC_BITS:               5
  NUM_PARALLEL:            1
  Total Test Vectors:      100
==========================================================

Test Vector  73: 4232 cycles (42.32 us @ 100MHz)
Test Vector  74: 4232 cycles (42.32 us @ 100MHz)
Test Vector  75: 4232 cycles (42.32 us @ 100MHz)
Test Vector  76: 4232 cycles (42.32 us @ 100MHz)
Test Vector  77: 4232 cycles (42.32 us @ 100MHz)
Test Vector  78: 4232 cycles (42.32 us @ 100MHz)
Test Vector  79: 4232 cycles (42.32 us @ 100MHz)
Test Vector  80: 4232 cycles (42.32 us @ 100MHz)
Test Vector  81: 4232 cycles (42.32 us @ 100MHz)
Test Vector  82: 4232 cycles (42.32 us @ 100MHz)
Test Vector  83: 4232 cycles (42.32 us @ 100MHz)
Test Vector  84: 4232 cycles (42.32 us @ 100MHz)
Test Vector  85: 4232 cycles (42.32 us @ 100MHz)
Test Vector  86: 4232 cycles (42.32 us @ 100MHz)
Test Vector  87: 4232 cycles (42.32 us @ 100MHz)
Test Vector  88: 4232 cycles (42.32 us @ 100MHz)
Test Vector  89: 4232 cycles (42.32 us @ 100MHz)
Test Vector  90: 4232 cycles (42.32 us @ 100MHz)
Test Vector  91: 4232 cycles (42.32 us @ 100MHz)
Test Vector  92: 4232 cycles (42.32 us @ 100MHz)
Test Vector  93: 4232 cycles (42.32 us @ 100MHz)
Test Vector  94: 4232 cycles (42.32 us @ 100MHz)
Test Vector  95: 4232 cycles (42.32 us @ 100MHz)
Test Vector  96: 4232 cycles (42.32 us @ 100MHz)
Test Vector  97: 4232 cycles (42.32 us @ 100MHz)
Test Vector  98: 4232 cycles (42.32 us @ 100MHz)
Test Vector  99: 4232 cycles (42.32 us @ 100MHz)
Test Vector 100: 4232 cycles (42.32 us @ 100MHz)

==========================================================
SUMMARY
==========================================================
Total Test Vectors: 100
Total Cycles:       423200
Average Cycles:     4232.00
Total Time:         4232.00 us @ 100MHz
Average Time:       42.32 us @ 100MHz
Throughput:         23.63 computations/ms @ 100MHz
==========================================================
